code,label,fullname
157,,"HCFC_123 (air)"
158,,"Copper in TSP (aerosol) (ng/m3)"
159,,"HCFC_22 (air)"
160,,"N1methylnaphtalene (air+aerosol) (ng/m3)"
161,,"N1methylphenanthrene (air+aerosol) (ng/m3)"
162,,"N2butanone (air) (µg/m3)"
163,,"N2butenal (air) (µg/m3)"
164,,"N2methylanthracene (air+aerosol) (ng/m3)"
165,,"N2methylbenzencarbaldehyde (air) (µg/m3)"
166,,"N2methylnaphtalene (air+aerosol) (ng/m3)"
167,,"N2methylphenanthrene (air+aerosol) (ng/m3)"
168,,"N2methylpropenal (air) (µg/m3)"
169,,"N2oxopropanal (air) (µg/m3)"
170,,"N2propenal (air) (µg/m3)"
171,,"N3buten2one (air) (µg/m3)"
172,,"N3methylbenzencarbaldehyde (air) (µg/m3)"
173,,"N3methylpentane (air)"
174,,"N4methylbenzencarbaldehyde (air) (µg/m3)"
175,,"NOy (air)"
176,,"Total volatile organic compounds (air) (µg/m3)"
177,,"PCB_105 (precip)"
178,,"PCB_128 (precip)"
179,,"PCB_149 (precip)"
180,,"PCB_156 (precip)"
181,,"PCB_177 (precip)"
182,,"PCB_18 (precip)"
183,,"PCB_26 (precip)"
184,,"PCB_31 (precip)"
185,,"PCB_44 (precip)"
186,,"acenaphthene (air+aerosol) (ng/m3)"
187,,"acenaphtylene (air+aerosol) (ng/m3)"
188,,"aldrin (precip)"
190,,"chloride in TSP (aerosol) (µg/m3)"
191,,"anthanthrene (air+aerosol) (ng/m3)"
192,,"sodium in TSP (aerosol) (µg/m3)"
194,,"Benzenecarbaldehyde (air) (µg/m3)"
195,,"Benzo(a)fluoranthene (air+aerosol) (ng/m3)"
196,,"Nitrogen monoxide (air) (µg/m3)"
197,,"Benzo(b+j+k)fluoranthenes (air+aerosol) (ng/m3)"
198,,"Benzo(e)pyrene (air+aerosol) (ng/m3)"
199,,"Hydrogen chloride (air) (µg/m3)"
200,,"biphenyl (air+aerosol) (ng/m3)"
201,,"black_carbon (aerosol) (µg/m3)"
202,,"butanales (air) (µg/m3)"
203,,"butenes (air)"
205,,"Hydrogen fluoride (air) (µg/m3)"
206,,"carbontetrachloride (air)"
207,,"Hg0 - Elemental Gaseous Mercury (air+aerosol) (ng/m3)"
208,,"chrysene (precip)"
209,,"conductivity (precip)"
210,,"coronene (air+aerosol) (ng/m3)"
211,,"cyclohexane (air)"
212,,"Cyklopenta(cd)pyrene (air+aerosol) (ng/m3)"
213,,"Dibenzo(ac+ah)anthracenes (precip) (ng/m3)"
214,,"Dibenzo(ah)anthracene (precip)"
215,,"dibenzofuran (air+aerosol) (ng/m3)"
216,,"dibenzothiophene (air+aerosol) (ng/m3)"
217,,"dinitrogenoxide (air)"
218,,"endrin (precip)"
219,,"ethanal (air) (µg/m3)"
220,,"ethanedial (air) (µg/m3)"
222,,"PCB_105 (air+aerosol) (pg/m3)"
223,,"PCB_149 (air+aerosol) (pg/m3)"
224,,"PCB_156 (air+aerosol) (pg/m3)"
225,,"PCB_18 (air+aerosol) (pg/m3)"
226,,"PCB_31 (air+aerosol) (pg/m3)"
227,,"fluorene (air+aerosol) (ng/m3)"
228,,"halon_1211 (air)"
229,,"halon_1301 (air)"
230,,"heptachlor (precip)"
231,,"chrysene (air+aerosol) (ng/m3)"
232,,"chrysene_triphenylene (air+aerosol) (ng/m3)"
233,,"hexanal (air) (µg/m3)"
234,,"isoheptane (air) (µg/m3)"
235,,"Particulate ammonium (aerosol) (µg/m3)"
236,,"Isoprene (2-methyl-1,3-butadiene) (air) (µg/m3)"
237,,"Particulate nitrate (aerosol) (µg/m3)"
238,,"methylchloroform (air)"
239,,"naphtalene (air+aerosol) (ng/m3)"
240,,"neohexane (air)"
241,,"neopentane (air)"
242,,"Particulate sulphate (aerosol) (µg/m3)"
243,,"Selenium (aerosol) (ng/m3)"
244,,"Hg0 + Hg-reactive - ukupna plinovita živa (ng/m3)"
245,,"pentanal (air) (µg/m3)"
246,,"pentenes (air)"
247,,"perylene (air+aerosol) (ng/m3)"
248,,"Vanadium (aerosol) (ng/m3)"
249,,"phenyletanone (air) (µg/m3)"
250,,"Gaseous nitric acid (air) (µg/m3)"
251,,"olovo (µg/m3)"
252,,"Mercury in PM10 (aerosol) (ng/m3)"
253,,"Cd - kadmij (ng/m3)"
254,,"nikal (ng/m3)"
255,,"Chromium in PM10 (aerosol) (ng/m3)"
256,,"Mn u PM₁₀ - mangan u PM10 (aerosol) (ng/m3)"
257,,"arsen (µg/m2/day)"
258,,"propanal (air) (µg/m3)"
259,,"Benzo(a)piren (ng/m3)"
260,,"propanone (air) (µg/m3)"
261,,"Ammonium in PM10 (aerosol) (µg/m3)"
262,,"Nitrate in PM10 (aerosol) (µg/m3)"
263,,"sulphate in PM10 (aerosol) (µg/m3)"
264,,"Selenium in PM10 (aerosol) (ng/m3)"
265,,"Vanedium in PM10 (aerosol) (ng/m3)"
266,,"Zn u PM₁₀ - cink u PM10 (aerosol) (ng/m3)"
267,,"Cobalt in PM10 (aerosol) (ng/m3)"
268,,"Fe u PM₁₀ - željezo u PM10 (aerosol) (ng/m3)"
269,,"Cu u PM₁₀ - bakar u PM10 (aerosol) (ng/m3)"
270,,"retene (air+aerosol) (ng/m3)"
271,,"HC C2-C6(excl. AROM. & CHLH) (air+aerosol) (µg/m3)"
272,,"BaP u PM₁₀ - Benzo(a)piren u PM10 (air+aerosol) (ng/m3)"
273,,"sum_PCB (precip)"
274,,"HC > C6 (excl. AROM. & CHLH) (air+aerosol) (µg/m3)"
275,,"sum_sulph_diox_sulphate (air+aerosol)"
276,,"Aromatics (except C6H6) (air) (µg/m3)"
277,,"Benzo(b,j,k)fluoranthene in PM10 (aerosol) (ng/m3)"
278,,"Chlorinated hydrocarbons (air) (µg/m3)"
279,,"Dibenzo(a,h)antracen u PM10"
280,,"Dibenzo(a,h)antracen u PM10 (aerosol) (ng/m3)"
281,,"Benzo(b,j)fluoranthene in PM10 (aerosol) (ng/m3)"
282,,"Benzo(a)anthracene in PM10 (air+aerosol) (ng/m3)"
283,,"Benzo(a)antracen u PM10"
284,,"Benzo(b)fluoranthene in PM10 (air+aerosol) (ng/m3)"
285,,"Benzo(b)fluoranten u PM10"
286,,"Benzo(k)fluoranthene in PM10 (air+aerosol) (ng/m3)"
287,,"Benzo(k)fluoranten u PM10"
288,,"calcium in PM10 (aerosol) (µg/m3)"
289,,"chloride in PM10 (aerosol) (µg/m3)"
290,,"indeno_123cd_pyrene in PM10 (air+aerosol) (ng/m3)"
291,,"Indeno(1,2,3,-cd)piren u PM10"
292,,"potassium in PM10 (aerosol) (µg/m3)"
293,,"magnesium in PM10 (aerosol) (µg/m3)"
294,,"sodium in PM10 (aerosol) (µg/m3)"
295,,"Benzo(j)fluoranten u PM10"
296,,"Benzo(j)fluoranthene in PM10 (air+aerosol) (ng/m3)"
297,,"Dibenzo(ah)anthracene in PM10 (air+aerosol) (ng/m3)"
298,,"Elemental carbon in PM10 (aerosol) (µg/m3)"
299,,"Organic carbon in PM10 (aerosol) (µg/m3)"
300,,"Black smoke (air) (µg/m3)"
301,,"trans-2-Butene (air) (µg/m3)"
302,,"cis-2-Butene (air) (µg/m3)"
303,,"N3methylphenanthrene (air+aerosol) (ng/m3)"
307,,"BaP - Benzo(a)pyrene (air+aerosol) (ng/m3)"
308,,"N9methylphenanthrene (air+aerosol) (ng/m3)"
309,,"Al - aluminij (ng/m3)"
310,,"aluminium (precip)"
311,,"anthracene (air+aerosol) (ng/m3)"
312,,"anthracene (precip)"
313,,"anthracene (precip+dry_dep)"
314,,"Benzo(a)anthracene (air+aerosol) (ng/m3)"
315,,"Benzo(a)anthracene (precip)"
316,,"Benzo(a)anthracene (precip+dry_dep)"
317,,"Benzo(a)fluorene (air+aerosol) (ng/m3)"
318,,"Benzo(b)fluoranthene (air+aerosol) (ng/m3)"
319,,"Benzo(b)fluoranthene (precip)"
320,,"Benzo(b)fluoranthene (precip+dry_dep)"
321,,"Benzo(b)fluorene (air+aerosol) (ng/m3)"
322,,"Fluoride (except HF) (air) (µg/m3)"
323,,"Benzo(ghi)fluoranthene (air+aerosol) (ng/m3)"
324,,"Benzo(ghi)fluoranthene (precip)"
325,,"Benzo(ghi)perilen u PM10 (ng/m3)"
326,,"Benzo(ghi)perylene (precip)"
327,,"Benzo(ghi)perylene (precip+dry_dep)"
328,,"Benzo(k)fluoranthene (air+aerosol) (ng/m3)"
329,,"Benzo(k)fluoranthene (precip)"
330,,"Benzo(k)fluoranthene (precip+dry_dep)"
331,,"calcium (aerosol) (µg/m3)"
332,,"Zinc (aerosol) (ng/m3)"
333,,"calcium (precip)"
334,,"chloride (aerosol) (µg/m3)"
335,,"chloride (precip)"
336,,"Dibenz(ac+ah)anthracenes (air+aerosol) (ng/m3)"
337,,"Dibenz(ac+ah)anthracenes (precip)"
338,,"Dibenz(ah)anthracene (precip)"
339,,"Dibenzo(ae)pyrene (air+aerosol) (ng/m3)"
340,,"Dibenzo(ah)pyrene (air+aerosol) (ng/m3)"
341,,"Dibenzo(ai)pyrene (air+aerosol) (ng/m3)"
342,,"Benzo(b,j,k)fluoranthene in PM10 (air+aerosol) (ng/m3)"
343,,"Dibenzo(ai)pyrene (precip)"
344,,"Cobalt (aerosol) (ng/m3)"
345,,"dieldrin (air+aerosol) (pg/m3)"
346,,"dieldrin (precip)"
347,,"fluoranthene (air+aerosol) (ng/m3)"
348,,"fluoranthene (precip)"
349,,"fluoranthene (precip+dry_dep)"
350,,"acidity(H+) (precip)"
351,,"HCB (air+aerosol) (pg/m3)"
352,,"Iron (aerosol) (ng/m3)"
353,,"HCB (precip)"
354,,"heptachlor_epoxide (precip)"
355,,"reactive_mercury (air+aerosol) (ng/m3)"
356,,"indeno_123cd_pyrene (air+aerosol) (ng/m3)"
357,,"indeno_123cd_pyrene (precip)"
358,,"indeno_123cd_pyrene (precip+dry_dep)"
359,,"potassium (aerosol) (µg/m3)"
360,,"potassium (precip)"
361,,"magnesium (aerosol) (µg/m3)"
362,,"Back scattering ()"
363,,"magnesium (precip)"
364,,"molybdenum (aerosol) (ng/m3)"
365,,"ammonium (precip)"
366,,"nitrate (precip)"
367,,"sodium (aerosol) (µg/m3)"
368,,"sodium (precip)"
369,,"Total nitrate (air+aerosol)"
370,,"PCB_101 (air+aerosol) (pg/m3)"
371,,"PCB_101 (precip)"
372,,"PCB_101 (precip+dry_dep)"
373,,"PCB_114 (air+aerosol) (pg/m3)"
374,,"PCB_118 (air+aerosol) (pg/m3)"
375,,"PCB_118 (precip)"
376,,"PCB_118 (precip+dry_dep)"
377,,"PCB_138 (air+aerosol) (pg/m3)"
378,,"PCB_138 (precip+dry_dep)"
379,,"PCB_141 (air+aerosol) (pg/m3)"
380,,"Total ammonium (air+aerosol)"
381,,"PCB_153 (air+aerosol) (pg/m3)"
382,,"PCB_153 (precip)"
383,,"PCB_153 (precip+dry_dep)"
384,,"PCB_157 (air+aerosol) (pg/m3)"
385,,"PCB_167 (air+aerosol) (pg/m3)"
386,,"PCB_170 (air+aerosol) (pg/m3)"
387,,"PCB_180 (air+aerosol) (pg/m3)"
388,,"PCB_180 (precip)"
389,,"PCB_180 (precip+dry_dep)"
390,,"PCB_183 (air+aerosol) (pg/m3)"
391,,"Radioactivity ()"
392,,"PCB_187 (air+aerosol) (pg/m3)"
393,,"PCB_189 (air+aerosol) (pg/m3)"
